ISBN,分類,類型,系列名稱,書名,作者,簡介,出版社,語言,頁數,售價,庫存,封面連結複製用,封面連結
999-000-825688-9,藝術設計類,繪畫,,色彩的筆尖：揮灑創意與情感,艾瑞安·影月,艾瑞安·影月以其獨特的視角，深入探索了色彩在藝術創作中的無限可能。本書不僅是一本實用的繪畫技巧指南，更是一次充滿啟發的心靈之旅。從基礎的色彩理論到進階的混色技巧，從水彩的流動寫意到油畫的厚重質感，艾瑞安·影月引導讀者透過畫筆，將內心的情感與創意自由地釋放於畫布之上。書中穿插了大量精美的畫作範例，以及藝術家本人對於色彩的深刻感悟和創作心得。無論您是初學者還是經驗豐富的畫家，都能從本書中汲取靈感，找到屬於自己的色彩語言，讓每一筆都充滿生命力，在色彩的世界裡，揮灑出獨一無二的藝術篇章。,星辰出版社,中文,204,560,174,https://lh3.googleusercontent.com/pw/AP1GczNqxw_enfApOHCXNlf3_B-e_X2MRjsujte3kUxfJR-eI9IlfTvSckFEOsn3MhM9LtEoNf-_gbQdFwtJ1itSHga4hZmflIsIdnjck-OOJcWhun20UsjgHFtLPZ9jJUmwAW7lw7a85gfNOHKKZpCdZcac=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-888953-2,文學小說類,散文,,指尖的溫度：感受自然的輕柔,艾瑞安·影月,在喧囂的都市生活中，我們常常忽略了身邊細微的美好。艾瑞安·影月以其敏銳的觀察力和溫柔的筆觸，引導讀者重新發現自然界中那些容易被忽略的觸感與詩意。本書並非傳統的自然科普，而是一次感官的喚醒之旅。透過作者在不同季節、不同場景下的細膩描寫，讀者彷彿也能感受到微風拂過指尖的輕柔，泥土的粗糙與溫潤，花瓣的絲滑與嬌嫩，以及陽光灑在肌膚上的暖意。本書鼓勵讀者放慢腳步，用心去觸摸、去感受周圍的世界，從最細微的觸感中，體驗大自然賦予我們的寧靜與美好，重拾與自然的親密連結。,星辰出版社,中文,294,406,29,https://lh3.googleusercontent.com/pw/AP1GczMhcx2Pqxr2e1s1Wepx1VBZeTU63NeDPkpkw7LI2hhGqqEjEyNzo6Uj_SvVMd8GeBDAsJ3i8fVw4um1ZWE5HCHVfR_n9XXIGYIyVD9YLG3gUheuPixXRGP5BcIpTax1NVvou7aXCfvvHfVndPGr3ggG=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-642368-0,人文思想類,哲學,,靜夜之思：光影中的存在與冥想,薇薇安·夜歌,薇薇安·夜歌以其富有哲理的文字，探討了在靜謐的夜晚和光影交織中，人類對於存在、意義和內在自我的深刻思考。本書並非傳統的哲學著作，而更像是一部引導心靈沉澱的散文集。作者透過對夜晚的細膩描寫，以及對光影變幻的敏銳捕捉，引領讀者進入一個沉靜而內省的世界。在夜的寂靜中，我們更容易傾聽內心的聲音，審視自己的存在。在光影的流動中，我們更能體悟生命的無常與變化。薇薇安·夜歌以其獨特的感悟，啟發讀者在日常生活中更深刻地理解自我與宇宙的關係，在紛擾的世界中找到內心的寧靜。,燭光書社,中文,213,834,239,https://lh3.googleusercontent.com/pw/AP1GczNouc2VpPjfAn4jsLQToE7CGhwjXVuXagkRWz6I0Il0ADph3jIiP9y7b50bZoINYHHORWeeuzymoaSQPmKGyO2WR-z485lzRLft5Ji30PyRLStaduBWC5C_hawQ4q9tA4eaBn0bQDmKrTOfX9r1lRpm=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-982387-0,藝術設計類,建築,建築的語言,光影的構圖：簡約中的建築詩學,建築大師,被譽為「建築大師」的作者，在本書中闡述了其獨特的建築設計理念——簡約主義。他認為，真正的美並非繁複的堆砌，而是透過精心的構圖和對光影的巧妙運用，在簡潔的線條和空間中，營造出富有詩意的建築作品。本書深入剖析了多個經典的簡約建築案例，從建築的結構、材料的選擇，到光線的引入和空間的布局，都進行了細緻的解讀。作者不僅分享了他的設計哲學，更引導讀者欣賞簡約建築背後所蘊含的深層思考，以及如何在看似簡單的 forms 中，感受到豐富的空間層次和精神內涵，領略建築作為一種時間與空間藝術的永恆魅力。,燭光書社,中文,341,994,67,https://lh3.googleusercontent.com/pw/AP1GczPy1vlsKdHjQ0BJzYzc2vvCMCv6NmDLVAA-wogUblEflHLD4A-2JNiKm3xTcq8D8prI3q6VGxFlINU-vEluwoYMRGbSF1sK52UxDqES8-rVxkFy68Kkg3gsxgJ8OAPJv04MlaqpqI9tI4n1I1N40ClR=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-684170-7,人文思想類,宗教,光與影的信箋,潮汐的印記：探尋古老信仰的邊界,薇薇安·夜歌,薇薇安·夜歌以其淵博的知識和細膩的筆觸，帶領讀者踏上一段追溯古老信仰的旅程。本書以矗立在潮汐之間的神秘鳥居為引，深入探討了人類早期對於自然力量的敬畏與崇拜，以及由此衍生的種種信仰儀式和文化習俗。作者不僅考察了鳥居的歷史淵源和象徵意義，更將視野擴展到世界各地類似的臨水建築和祭祀場所，探尋它們所共同承載的人類對於神聖空間的理解和表達。透過豐富的歷史文獻、考古資料和人類學研究，薇薇安·夜歌揭示了潮汐如何塑造了古老信仰的邊界，以及這些印記如何在現代社會中依然潛移默化地影響著我們的文化和精神世界。,燭光書社,中文,339,374,75,https://lh3.googleusercontent.com/pw/AP1GczNGwH5kMMbENMTTYuTD42L1M-p1DQPQ3GPS0BQtbyS9jc-SX_zDfO0_JzZ0-px42uY1vA6uxJRzxylABakqwuGBjRXoyoBszgJ_eMZ0IrwwG6fgfWUDJybHKOFei64eoIHxF4JmkCeEgsIaJF7tdx7q=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-487111-8,自然科學類,科學,,瞬息的晶體：凝固時間的科學之美,KAI-37,代號 KAI-37 的科學家，以其獨特的藝術家視角，探索了微觀世界中晶體結構的神奇與美麗。本書並非枯燥的科學報告，而是一次結合了科學嚴謹性與藝術欣賞性的視覺盛宴。透過精美的顯微攝影圖片，KAI-37 向讀者展示了冰晶、鹽晶、礦物晶體等在形成過程中呈現出的千變萬化的形態和色彩。他深入淺出地解釋了晶體形成的物理和化學原理，同時也著重描繪了這些微觀結構所蘊含的幾何美學和自然規律。本書旨在引導讀者以全新的視角觀察我們周圍的世界，發現隱藏在微小事物中的科學之美，感受大自然鬼斧神工的創造力，以及科學探索所帶來的驚奇與震撼。,星辰出版社,中文,261,352,143,https://lh3.googleusercontent.com/pw/AP1GczOarzFemAnOiJDuqh2C5gXKE_SKQokhkx9xCzFBq2MdFArEw9pvO7_4hYsLeYXk7lVTPqUcq7Sdn3SjBXyRvDzxF2q3j8eSz3CGOGljn5EwGR4wekg7N9YFgi0UxEv3IeInpuwSY5_ZdcEcP_-JQXSJ=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-585404-7,自然科學類,科學,,藍色星球的脈動：晝夜交替與文明之光,KAI-37,代號 KAI-37 的科學家，以其宏大的視野，從宇宙的角度審視了我們所居住的地球。本書以地球的晝夜交替為切入點，深入探討了地球的自轉、光照、氣候變化等自然現象，以及這些自然節律如何塑造了地球上的生命和文明。透過壯麗的衛星圖像和深入淺出的科學解釋，KAI-37 展示了地球這個複雜而精密的生態系統是如何運作的。同時，本書也將視角轉向人類文明，探討了城市燈光在地球夜景中的璀璨，以及這背後所代表的人類活動、科技發展和文化交流。本書旨在引導讀者認識我們星球的獨特性和脆弱性，以及人類文明在宇宙中的位置和責任。,燭光書社,中文,363,949,20,https://lh3.googleusercontent.com/pw/AP1GczMlkiEJM52y5is0QHXsBib46VE8653pYndeCjrS7-1b3pZDxuZrL9OHNMtpMngFeAdoroYx6fDysZE0TwpV7ZUoh6mkJ8kuZ7BiBd_PAJ9WCAQj8DmiFoQiTKkIr0OooIIy5b6lggJz0GIOGcMXXCqX=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-603288-4,人文思想類,宗教,光與影的信箋,信仰的仰望：在光與影中追尋,薇薇安·夜歌,薇薇安·夜歌再次以其深刻的洞察力，探討了人類對於信仰的普遍渴望和在光與影之間的心靈追尋。本書並非特定的宗教研究，而是一次對人類精神層面的普遍探索。作者透過對不同文化、不同信仰中光與影意象的分析，揭示了光明常常象徵著希望、真理和神聖，而黑暗則往往代表著未知、恐懼和邪惡。然而，真正的信仰往往存在於光與影的交織之中，在迷茫中尋找方向，在黑暗中堅守希望。薇薇安·夜歌以其富含哲理的文字，引導讀者反思自身對於信仰的理解，以及如何在人生的旅程中，在光與影的變幻中，找到屬於自己的精神寄託。,燭光書社,中文,405,450,42,https://lh3.googleusercontent.com/pw/AP1GczN5a7OkSdogNpG1rPI36-vX8QzP2f2vIRrM3dyCv4CeXyS6PBf9pBjM827-QC2xZiKkUPzy80JwNdqzabGcl3f3BYFQelAlZ6qbzGRHmT13jgTg-v5nrxLzzvKDVtB-6vaBAxUK4B_qVFgCpuooU3K8=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-129241-9,藝術設計類,建築,建築的語言,鏡像的效率：現代建築的設計與理念,建築大師,被譽為「建築大師」的作者，在本書中深入探討了現代建築設計中對於鏡面和反射的巧妙運用。他認為，鏡面不僅可以擴展空間的視覺感，更能夠創造出獨特的視覺效果，模糊內外邊界，增強建築與周圍環境的互動。本書透過大量的案例分析，展示了鏡面在不同類型的現代建築中的應用，例如玻璃幕牆、水面倒影、金屬立面等。作者不僅從設計美學的角度進行了闡述，更探討了鏡面在提升建築能源效率、改善室內光環境等方面的實際應用。本書旨在引導建築師和設計師們更深入地理解和運用鏡面元素，創造出既美觀又實用的現代建築作品。,星辰出版社,中文,214,641,143,https://lh3.googleusercontent.com/pw/AP1GczOwZfe-Z1LDZ92u_rJ4emKh96VToCehCq0mCGc1nUmsjhXfJXtOcjD757yQCKvwXbOx2BIz3D0SOCBwgGYb1JV_SBGIdyxrsj6sHX-398vejfL9BNf1BH5WrLmPJ7mMKO5QjoyhjDYacQlA82R-lwWh=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-433342-8,歷史與地理類 ,歷史,,歲月的刻痕：探尋失落文明的記憶,薇薇安·夜歌,薇薇安·夜歌以其考古學家的敏銳目光和歷史學家的嚴謹態度，帶領讀者踏上一段追溯失落文明的探險之旅。本書以一座佈滿歲月痕跡的古老石塔為線索，逐步揭開其背後所掩埋的文明的興衰與秘密。作者結合了考古發掘的最新成果、歷史文獻的記載以及神話傳說的解讀，試圖重構那個曾經輝煌一時，卻最終湮沒在歷史長河中的文明圖景。透過對石塔的建築風格、雕刻紋飾以及周邊遺址的分析，薇薇安·夜歌引導讀者穿越時空的迷霧，聆聽來自遠古的低語，感受歲月在石頭上留下的深刻印記，以及人類文明的脆弱與堅韌。,燭光書社,中文,497,697,125,https://lh3.googleusercontent.com/pw/AP1GczOGRaQvpG0IKiJXU4qN0rtwPnC1JdgXEMnUhltm3uOghscIylJfX5HnLNa0PIlCnUIztkrpA2bN3H-ZI2r7gMvAaz3KIHejBFw41x2BIIAHiTHuMsz6NWvlIFaG5m4o60FIirTWOc0qrAAFLPgY20gv=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-984157-7,文學小說類,小說,,紅樓夢,石心寺,這部經典小說以賈、史、王、薛四大家族的興衰為主線，描繪了一個鐘鳴鼎食、詩禮簪纓的貴族家庭由盛轉衰的歷史圖景。故事聚焦於賈寶玉與林黛玉、薛寶釵之間纏綿悱惻的愛情糾葛，以及大觀園中眾多閨閣女兒的悲歡離合。曹雪芹以精湛的筆法，塑造了賈寶玉的叛逆與深情、林黛玉的敏感與才華、薛寶釵的端莊與世故等一系列鮮活的人物形象。書中不僅細緻入微地展現了清代社會的風俗人情、飲食服飾、詩詞歌賦，更深刻揭示了封建社會的弊端與人性的複雜多變。這是一部百科全書式的巨著，,知返,中文,962,750,156,https://lh3.googleusercontent.com/pw/AP1GczPUymPfxPh2YFqzUYpfXHR7o0O1fzvZqlnFaghV_iigdqWrYaOne1IYdY25YVgEmUGYa-2_X4dvulD4OLQqqssAx2ihzFWRjuTXD8A8aFda3sHSwmYJwgg6i6XJAhqiuCXrVw0LJVcuoYrgkMDYsvmg=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-660896-1,文學小說類,小說,,三國演義,黃問游,《三國演義》是一部波瀾壯闊的歷史演義小說，講述了東漢末年，天下大亂，魏、蜀、吳三國鼎立，最終歸晉的近百年歷史。本書以劉備、關羽、張飛桃園結義為開端，透過一系列經典戰役和智謀對決，如官渡之戰、赤壁之戰、空城計等，展現了曹操、劉備、孫權等各路英雄豪傑的雄才大略與爾虞我詐。書中不僅刻畫了眾多傳奇人物的鮮明個性，更蘊含著豐富的軍事策略、政治權謀和人生哲理。它既是歷史的縮影，也是一部對忠義、背叛、智慧與勇氣進行深度探討的巨著，引領讀者領略那個風雲變幻的時代。,知返,中文,1016,540,209,https://lh3.googleusercontent.com/pw/AP1GczN1nCBb0efX7PhLSHew8d5_wC32hipYvmUa8JOPLzB2e2oMNi6obo8ctyXxDbj81hh9SHZA-LwpVFzYbPS4Cpc_Z2W0lar0TGuiYyOFpHYdRbQ90uG3xyCS85oONUOyX9wq0l6hgNl1Y71bN4BtQaab=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-360803-2,自然科學類,科學,,AI淘汰人類,兆品力,這是一部引人深思的未來學著作，探討了人工智能快速發展對人類社會可能產生的顛覆性影響。本書深入剖析了AI在各行各業中日益增長的能力，從自動化生產到複雜決策，預示著在不久的將來，許多傳統的人類工作可能被高效的AI系統取代。作者不僅探討了失業潮、貧富差距加劇等社會問題，更提出了關於人類存在意義的終極疑問：當AI在智力上全面超越人類，我們的角色將如何定義？這本書旨在引發大眾對科技倫理、未來勞動市場以及人機共存模式的廣泛討論，是一部既具啟示性又帶有警示意味的作品。,知返,中文,1188,320,223,https://lh3.googleusercontent.com/pw/AP1GczPL1Lt_iuvZ9RtLZvuQiOtpYf6eTDr2oDLFOiHSpu4hpo4WLEcQiqNVU5WBgWezAn1EwaXznKGl9KAG1yNusZ4h51UBaUWqOWHuf-shcmfh6FYOpIEW2M35Frqm-Lzc1OY0haS4UfvrchE2Hq2LS2Fr=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-293900-3,自然科學類,環境工程,,大新浣,常遠卜兒,作為一部專業文獻，本書聚焦於現代城市水資源管理與清潔技術。書中深入探討了城市廢水處理、再生水利用以及河流湖泊生態修復的最新技術與實踐案例。從工業廢水到生活污水，從初期雨水徑流控制到河道清淤維護，內容旨在提供一套全面的城市水環境綜合治理方案。書中涵蓋了先進的膜分離技術、生物處理系統、智慧水務監控等前沿領域，並分析了多個成功實施「大新浣」工程的城市經驗。本書為環境工程師、城市規劃者及相關政策制定者，提供了寶貴的理論支持與實踐參考。,知返,中文,219,250,63,https://lh3.googleusercontent.com/pw/AP1GczPlwoUJ6FbyU7wYDEGY-Nmx28MxEPMKUMSk37MyF4O_xX6XRQKoi8_uGu-3mUaPTg1fjPrmCCnB_0_qvUH7WCOCK7hvC-IADxaV4tYjwPq__HftYKJrzbzaz6ysHoIyeQ1Zj3sDOa9rEn8HoMWpYhLv=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-641845-8,自然科學類,自然,,騭菓,秋葉戊,這是一本專門研究珍稀果實「騭菓」的農業科學專著。本書詳細介紹了騭菓的植物學分類、生物特性、生長習性及其對土壤、氣候條件的特殊要求。從種子培育、幼苗管理、病蟲害防治到果實採摘與儲存，書中系統地闡述了騭菓從育種到豐收的全過程。同時，本書還探討了騭菓的營養成分、藥用價值以及在食品加工中的應用前景。透過大量的實驗數據、田間觀察記錄和栽培圖示，本書為專業農業研究人員、園藝愛好者以及騭菓種植者提供了權威且實用的技術指導。,知返,中文,1188,390,146,https://lh3.googleusercontent.com/pw/AP1GczNahsjrAx0sxHiMxkJIcQYWRGfA5WeZGMEKnZrFSiC6l6wgDkyYsjOkwVWr8ZWsRdBQq9itl70w7hCeRE0yiOXi6NLVBoXme_ns7GD3UYZrCrvTDTdbNNQCs4x2C0HggkY9-A6Kg2NIaGO-KI5Ng7pQ=w460-h580-s-no-gm?authuser=0,查看圖片
999-000-670585-1,自然科學類,地質,,寒山呼喚,昔布祖,這份深度考察報告專注於高海拔山脈的地質構造與生態環境。本書聚焦於特定寒帶山脈的形成機制、岩石類型、冰川地貌以及極端氣候條件下的生物多樣性。透過實地勘測數據、衛星影像分析及地質樣本研究，本書詳細描繪了寒山地區的地質演變過程、獨特的礦產資源分佈，以及適應嚴酷環境的動植物群落。此外，本書也探討了氣候變化對寒山冰川融化與生態系統的影響，旨在為地質學家、生態學者及極地探險愛好者提供一份全面的研究資料。,知返,中文,296,180,164,https://lh3.googleusercontent.com/pw/AP1GczP4tSwO7MOhekudPQTa-Kj4BwGZSWRY1jK_gyEAk65LIN4Xj0D5tfGQQcIKWnvQdh56FtfNSInupOOgiObVvRJJjxtI_PTxtzu6OB27IaUzKdDhfJu9FcyeIqI0l5P4JSo05_Nb7aa9XEc_9inFsKn-=w460-h580-s-no-gm?authuser=0,查看圖片
